filename,clust
input\kasumi_wav\……ああっ！今ちょっといいこと思いついちゃった！.wav,0
input\kasumi_wav\……あっ、まりなさん。こんにちはー！.wav,2
input\kasumi_wav\……あっ、一番星みーっつけたっ！.wav,2
input\kasumi_wav\……あっ、待って！？　やっぱり猫の方がいいかも！.wav,0
input\kasumi_wav\……あっちゃん、何飲んでるの？.wav,1
input\kasumi_wav\……あっ！.wav,2
input\kasumi_wav\……あっ！　そうだ、先輩！先輩にやってもらおうよ、ドラム！.wav,2
input\kasumi_wav\……あっ！　そうだ！今度、公民館でハロハピと合同ライブしてみようかな！？.wav,0
input\kasumi_wav\……あっ！　わー！　なにこれ！すごい！　キーボードだ！　あったの？.wav,2
input\kasumi_wav\……あっ！そうだ！　すっごくいいこと思いついた！.wav,0
input\kasumi_wav\……あっ！やっぱりそうだよねっ！？ポピパのロゴ入りTシャツだよね！？.wav,0
input\kasumi_wav\……あのっ！今日は、まだ一回目だったから感じがつかめなかっただけです！.wav,0
input\kasumi_wav\……あのね、ずっと考えてたんだけど、さーやも一緒に文化祭で歌わない？.wav,1
input\kasumi_wav\……あはははっ！うん！　絶対、そっちのほうがいいと思う――.wav,0
input\kasumi_wav\……ありがとーっ！すっごい聞いてもらいたい話があって。幼馴染っている？.wav,0
input\kasumi_wav\……あるよ！.wav,2
input\kasumi_wav\……あれ、でも足、震えてる？.wav,0
input\kasumi_wav\……あれ、有咲？えっ、なんで急に猛ダッシュ！？ちょ、ちょっと置いてかないで〜！.wav,2
input\kasumi_wav\……あれ？　まりなさんからメッセージだ.wav,1
input\kasumi_wav\……あれ？　自販機の前にいるあの子って…….wav,1
input\kasumi_wav\……あれ？でも今、３年生は修学旅行で沖縄に行ってなかったっけ？.wav,1
input\kasumi_wav\……あれ？なんか運動したら、だんだん眠くなってきちゃったかも…….wav,1
input\kasumi_wav\……あー！　忘れてたーー！.wav,2
input\kasumi_wav\……あ！　ごめんね、長話しちゃって！.wav,0
input\kasumi_wav\……あ！　そうだったんだ！？別の仕事が入ってたなら仕方なかったね.wav,0
input\kasumi_wav\……あ！　そうだっ！　わかったかもっ！私達がキラキラドキドキするもの……私、見つけた！.wav,0
input\kasumi_wav\……あ！　ということは、最初からこれがあれば、私達はぐれなかったかもしれないよ！.wav,0
input\kasumi_wav\……あ！　カバンの中に入ってる！昨日から入れっぱなしだったみたい.wav,2
input\kasumi_wav\……あ！　有咲っ！今、いただきますって言ってなかった！.wav,2
input\kasumi_wav\……あ！　飴細工！　ポピパキャンディー！.wav,2
input\kasumi_wav\……あ！そういえば、子供のころのはぐのお願いって、遊園地に行けますように……だったよね？.wav,0
input\kasumi_wav\……あ！そういえば！ちょっ。聞きたいことがあって.wav,0
input\kasumi_wav\……あ！そうだっ！　いいこと思いついた！.wav,2
input\kasumi_wav\……あ！私のオススメも聴いてみてほしいな.wav,0
input\kasumi_wav\……いた！　君だ～！てい、このっ！うぅ～、なかなか引っかからな～い…….wav,0
input\kasumi_wav\……ううん。そうじゃない。楽しみなんだ。どんな曲ができるのか。絶対、いい曲になるって思う。だから、ドキドキしちゃうんだ.wav,0
input\kasumi_wav\……ううん。公園はなくなっちゃってて遊べなかった…….wav,0
input\kasumi_wav\……ううん！　作り話じゃないって！絶対に言ってましたっ。有咲が自分から.wav,0
input\kasumi_wav\……うん、そうだよね！.wav,0
input\kasumi_wav\……うん、わかった！有咲がやる気なんだもん！　その日に、みんなでライブやろう！さーや、りみりん、どうかな？.wav,0
input\kasumi_wav\……うん、無理かな.wav,1
input\kasumi_wav\……うん、絶対見よっ！.wav,2
input\kasumi_wav\……うん。絶対ここでライブしたい……その夢が叶いました！.wav,0
input\kasumi_wav\……うんっ、ムリ～！！ライブはやっぱりムリです！.wav,2
input\kasumi_wav\……うん！　そうだね……っ！それじゃあ、今日からみんなで練習、再開しよう！.wav,0
input\kasumi_wav\……うん！　絶対見つける！さーやだけじゃなくて、おたえもりみりんも、有咲も！絶対に全員見つける！.wav,0
input\kasumi_wav\……うん！また明日もギターのこと教えてね！.wav,0
input\kasumi_wav\……うん！まだ終わってない準備とか、何かお手伝いできることないか、有咲に聞きに行ってみよう！.wav,0
input\kasumi_wav\……うん！みんな、すっごい楽しそうに笑ってたんだよ！.wav,1
input\kasumi_wav\……うん！今、みんなの気持ち……ちゃんと伝わってるよ！.wav,1
input\kasumi_wav\……うん？　んー.wav,0
input\kasumi_wav\……う～～.wav,2
input\kasumi_wav\……え、えっと……とやまかすみ、だから……『と』だよね？『と』は……え、えっと…….wav,1
input\kasumi_wav\……え、これって――.wav,0
input\kasumi_wav\……え、今日？今日はこれからみんなで練習だよ！.wav,0
input\kasumi_wav\……えっ！？　この声は…….wav,2
input\kasumi_wav\……えっ？　ホントですよ〜！あの有咲がそんなこというなんて、信じられないかもしれないけど…….wav,0
input\kasumi_wav\……え？　おたえ、どうしたの？ギター、置いて……なんかトラブル？.wav,1
input\kasumi_wav\……え？　お正月ののど自慢大会、観に来てくれたの！？.wav,0
input\kasumi_wav\……え？　してない！？やったー！　やっと話をしてない人、はっけーん！.wav,2
input\kasumi_wav\……え？　どういうこと？.wav,1
input\kasumi_wav\……え？　今のウソ！？.wav,2
input\kasumi_wav\……え？い、いきなり難しくない？.wav,0
input\kasumi_wav\……え？そ、それは…….wav,0
input\kasumi_wav\……え？もちろんすっごい元気だよ？寒さなんて全然感じないけど……？.wav,1
input\kasumi_wav\……え？別にそんなに寒くないってっ！.wav,0
input\kasumi_wav\……え？有咲、どこ行くの……？.wav,2
input\kasumi_wav\……おたえ……まず、そこ？.wav,0
input\kasumi_wav\……お姉ちゃんと背比べしよっか？.wav,1
input\kasumi_wav\……お泊まり？.wav,1
input\kasumi_wav\……お祭りがなくなっちゃう理由が知りたい！.wav,2
input\kasumi_wav\……けど、ここからだよ！もう１回みんなで揃って、お弁当を食べられるようにしよう！.wav,0
input\kasumi_wav\……けど、その前に、お月見もしたいし、紅葉狩りもしたいっ！やりたいことが多すぎて、迷っちゃうなあ〜！！.wav,2
input\kasumi_wav\……けど、まだまだこれから！こんなことで凹んでられないよ！.wav,0
input\kasumi_wav\……けどね？あのあと私、考えたんだっ！.wav,0
input\kasumi_wav\……ごめん.wav,0
input\kasumi_wav\……ごめん。まだだった…….wav,0
input\kasumi_wav\……さーや.wav,0
input\kasumi_wav\……さーや、ありがとう。私、頑張る。絶対、頑張る！.wav,2
input\kasumi_wav\……さーや。りみりん、おたえ！　ありがとう！有咲は――…….wav,2
input\kasumi_wav\……さーや？.wav,0
input\kasumi_wav\……すぅ……すぅ…….wav,0
input\kasumi_wav\……すごい！　すごいすごい！バンド！　バンドになってた！.wav,2
input\kasumi_wav\……そうそう！　日菜さんから教えてもらったんだけど、私達が見てる星の輝きって、何年も何百年も前の光なんだって！.wav,0
input\kasumi_wav\……そうだっ！.wav,2
input\kasumi_wav\……そうだっ！！！.wav,2
input\kasumi_wav\……そうだ！おたえ、今から有咲の蔵で宝探ししようよ！.wav,0
input\kasumi_wav\……そうだ！この喜びを表現する歌を思いついちゃった！みんな、聞いてね！.wav,0
input\kasumi_wav\……そうだ！それ！　文化祭でやろうよ！.wav,0
input\kasumi_wav\……そうだ！今度のライブは、みんなで一輪車乗りながら演奏しようよ！.wav,2
input\kasumi_wav\……そうだ！好きな曲を教えてよ！.wav,0
input\kasumi_wav\……そうとも、言うね.wav,0
input\kasumi_wav\……そっか、こうやって広がっていくんだ.wav,1
input\kasumi_wav\……それでね、どのサークルの人たちも、みんなすっごくキラキラしてた！.wav,0
input\kasumi_wav\……それ！みんなっ、それだよっ！！.wav,2
input\kasumi_wav\……そんなフレーズが思いつきそうだったから、ここにきてみたってわけ！.wav,0
input\kasumi_wav\……って、あれ？生徒会の人がすごい形相でこっち来るよ.wav,0
input\kasumi_wav\……って、いきなりそんなこと言われても、なんで？　ってなるよね、あはは…….wav,0
input\kasumi_wav\……って、すごい荷物ですね！買い出しですか？.wav,0
input\kasumi_wav\……って、わっ！いつの間にか、こんなに時間が経ってたんだ……っ.wav,2
input\kasumi_wav\……って、んん？　ど、どこ？どこに私達がいるの？.wav,1
input\kasumi_wav\……って、今のは蘭ちゃんの受け売りなんだけどね。えへへ…….wav,0
input\kasumi_wav\……って、有咲が言ってたよ～！.wav,2
input\kasumi_wav\……っていうことがあったんだよ～.wav,0
input\kasumi_wav\……っジャーーンっ！.wav,2
input\kasumi_wav\……っ！？.wav,2
input\kasumi_wav\……でも有咲、ありがとね.wav,1
input\kasumi_wav\……でも有咲が来てくれたのは意外だったな〜。予定があるって言ってたのに、もしかしたら断ってきてくれたのかなあ？.wav,0
input\kasumi_wav\……ど、どうだったのかな？　有咲……大丈夫かな？.wav,1
input\kasumi_wav\……どこかに続いてるのかな？何かキラキラすることが始まりそうな予感がする！.wav,1
input\kasumi_wav\……なんで？そんな大事なこと、どうして言ってくれなかったの？.wav,1
input\kasumi_wav\……ね？　あったかいでしょ？.wav,1
input\kasumi_wav\……ははは！　ごめんなさーい！　そんなわけ、ないよね～！.wav,0
input\kasumi_wav\……ひたすら練習！よーし、じゃあ今日はひたすら練習するぞ～！.wav,0
input\kasumi_wav\……ひょっとして有咲って……音痴なの？.wav,0
input\kasumi_wav\……ふわぁ～.wav,2
input\kasumi_wav\……ぷっ。……あはははは！お肉って……おたえ、サイコー！.wav,2
input\kasumi_wav\……ぷはっ！こんななのにってどういうこと！？.wav,1
input\kasumi_wav\……へー！　先週オープンしたのっ！？全然知らなかったよー！.wav,0
input\kasumi_wav\……へ？あ。.wav,0
input\kasumi_wav\……ほ、ホントにっ！？.wav,2
input\kasumi_wav\……まりなさん。今ちょっと時間ありますか？.wav,0
input\kasumi_wav\……むぐっ！すっごくおいしー！！.wav,0
input\kasumi_wav\……やった。みんなやったよ！.wav,2
input\kasumi_wav\……やったー！　ありがとー！.wav,2
input\kasumi_wav\……やっぱり私、納得いかない！.wav,2
input\kasumi_wav\……やっぱダメ？.wav,0
input\kasumi_wav\……やりきりました！.wav,2
input\kasumi_wav\……やれます.wav,2
input\kasumi_wav\……よし、できた！.wav,0
input\kasumi_wav\……よし、わかった！いろいろ考えてたって仕方ないよ！とにかく今は行動あるのみ！　有咲は、私がなんとかする！.wav,0
input\kasumi_wav\……よしっ、決めた！.wav,0
input\kasumi_wav\……よしっ！今日の放課後までに考えよー！.wav,2
input\kasumi_wav\……わあっ！.wav,2
input\kasumi_wav\……わわっ！何これ？　カギ？.wav,2
input\kasumi_wav\……わ～、すごいすごい！これなら、たっぷり星が見えそう！ありがと、さーや！.wav,2
input\kasumi_wav\……んっ？な、何？　この紙袋……？.wav,1
input\kasumi_wav\……んー♪　美味しい！持ってきてくれたお料理、私が好きなのばっかりだよ！.wav,0
input\kasumi_wav\……ん？　あっ。こんにちはーっ！　お買い物に来たの？.wav,0
input\kasumi_wav\……ん？　今、何か光って？.wav,1
input\kasumi_wav\……ん？あれ。今、上着の下に着てるTシャツって…….wav,1
input\kasumi_wav\……ん？ちょ、ちょっと待って……それじゃ、マイク持ってないときの私は……？.wav,0
input\kasumi_wav\……オーナーって厳しいけど、なんか先生みたい.wav,1
input\kasumi_wav\……ギター道って、厳しいんだね.wav,0
input\kasumi_wav\……スースー.wav,2
input\kasumi_wav\……ダメ？.wav,1
input\kasumi_wav\……バンド！.wav,0
input\kasumi_wav\……バンド？.wav,1
input\kasumi_wav\……今からRiNG行っちゃう？.wav,1
input\kasumi_wav\……今の、どう？　どうだった？.wav,2
input\kasumi_wav\……今日の練習、みんな来られる？.wav,1
input\kasumi_wav\……出てない？　おかしいなー。絶対出てると思うんだけどなあ。……ま、いっか.wav,0
input\kasumi_wav\……実は私、みんなでライブしてみて思ったことがあるんだ…….wav,0
input\kasumi_wav\……少し前まで、星空を見る気持ちになれなくって。だから、久々に見てます！.wav,0
input\kasumi_wav\……明日がラストチャンス……っ。絶対、成功させないと……っ！！.wav,0
input\kasumi_wav\……有咲が言ってた準備って、これのことだったの！？.wav,1
input\kasumi_wav\……有咲！.wav,0
input\kasumi_wav\……着いた～！.wav,2
input\kasumi_wav\……私、わかった気がする。オーナーの周りが見えてないって言葉の意味…….wav,1
input\kasumi_wav\……音楽って、本当にすごいよね！？キラキラドキドキが次から次へとやってくるんだもん！.wav,0
input\kasumi_wav\……！　目指したい！.wav,2
input\kasumi_wav\……！！？.wav,2
input\kasumi_wav\……？　どうしたの？.wav,1
input\kasumi_wav\……？どうかしたんですか？.wav,1
input\kasumi_wav\……？どうしたのふたりとも？.wav,1
input\kasumi_wav\……？ねえ、みんな、ロビーのモニター見て！.wav,1
input\kasumi_wav\♪～ッ…….wav,2
input\kasumi_wav\『あなたの前に宇宙人が現れました。あなたがあることをして、宇宙人が笑いました。あなたは何をしたでしょう？』だって！.wav,1
input\kasumi_wav\『あの日聴いた音、幻なんかじゃなかったよ』って…….wav,0
input\kasumi_wav\『お母さん、どう？さーなん泣いてない？　じゅんじゅん元気？さーや……大丈夫？』.wav,1
input\kasumi_wav\『これをやったら楽しそう』とか『これは絶対面白そう』とか、そんな感じの、私なりの予感だったと思うんだ。……わかる？　言ってること.wav,0
input\kasumi_wav\『さーや？　あ……香澄です』.wav,0
input\kasumi_wav\『それから、歌詞……さーやの家に届けたよ。さーやとみんなで作った歌。よかったら読んでね』.wav,1
input\kasumi_wav\『だから……ライブもがんばるね！さーやに届くくらい、がんばるから！』.wav,0
input\kasumi_wav\『みんなが楽しめる文化祭にするためにがんばりましょう！』とか『カスミさんと私は一心同体です！』っていっつも励ましてくれたんですよ！.wav,0
input\kasumi_wav\『みんなすごいの！お客さん、パンおいしいって！お持ち帰りする人もたくさん！　えへへ……』.wav,1
input\kasumi_wav\『もしもし、こっちは大丈夫！すごく楽しい！　すごく、すごく、すっごく！』.wav,1
input\kasumi_wav\『わわっ！　みんなストップ！』.wav,2
input\kasumi_wav\『カフェはね、大成功！』.wav,0
input\kasumi_wav\『ガールズバンドチャレンジの時のポピパのMVを観てからずっと応援してます！　私達もできることはないか考えてます！　一緒にがんばろうね！』.wav,0
input\kasumi_wav\『トップスター』！？　わーっ！　ますます特別な感じ！１個だけなんてもったいないな〜、いっぱい飾りたいっ♪.wav,2
input\kasumi_wav\『ライオン』でしょ？　『ゾウ』『イヌ』『ネコ』…………できた！.wav,0
input\kasumi_wav\『ライブ最高でした』『オーナー、愛してる』だって.wav,0
input\kasumi_wav\『怪盗ハロウィンの挑戦状』……？.wav,0
input\kasumi_wav\『毎日キラキラドキドキできますように』とか、『ポピパをもっとたくさんの人に知ってもらえますように』とか、『ポピパのみんなとず〜っと一緒にいられますように』とか！.wav,0
input\kasumi_wav\『顔の見えないたくさんの人達にも伝わるライブ』……みんなで絶対成功させよう！.wav,0
input\kasumi_wav\〜〜〜〜〜っ！！有咲、手、出して！.wav,2
input\kasumi_wav\あ……ご、ごめん.wav,0
input\kasumi_wav\あ……っ！みんなで美味しい料理も食べたいよねっ！.wav,0
input\kasumi_wav\あ……でも、そしたら、また音楽から力をもらっちゃうかも.wav,0
input\kasumi_wav\あ……宿題あるの忘れてた！どうしよう……苦手な教科なんだよなぁ…….wav,2
input\kasumi_wav\あ、あっちゃん！　お帰り～.wav,0
input\kasumi_wav\あ、あの…….wav,2
input\kasumi_wav\あ、あの、オーナー！この間のロッキンスターフェス、ありがとうございました！.wav,2
input\kasumi_wav\あ、あの、私星を見つけて……！.wav,2
input\kasumi_wav\あ、あの〜…….wav,1
input\kasumi_wav\あ、あはは、怒られちゃったね…….wav,2
input\kasumi_wav\あ、あはは〜…….wav,0
input\kasumi_wav\あ、ありがと～みんなぁ～！もうね、私ホントにがんばっちゃうから！　やっちゃうよ～～！ねっ、有咲！.wav,2
input\kasumi_wav\あ、あれ……？な、なんでだろ…….wav,1
input\kasumi_wav\あ、あれ！？　ダメ！？.wav,0
input\kasumi_wav\あ、いけない、待ち合わせに遅刻しちゃう！それじゃまりなさん、私行きますね！.wav,0
input\kasumi_wav\あ、いけないっ！　そろそろみんなと約束した時間だ！それじゃまりなさん。またCiRCLEで！.wav,0
input\kasumi_wav\あ、うん！　今行くー！.wav,2
input\kasumi_wav\あ、おたえ、おはよー！.wav,2
input\kasumi_wav\あ、おたえ待って！せっかくだからみんなで挨拶しようよ～！.wav,2
input\kasumi_wav\あ、けど、海の中でライブってどうやるんだろ……？私、息できないし…….wav,1
input\kasumi_wav\あ、ここ、いいじゃん！ここをお菓子置き場にしまーすっ！.wav,2
input\kasumi_wav\あ、こっちにも貼ってある！あっ、こっちにも！.wav,0
input\kasumi_wav\あ、このから揚げは有咲が持ってきたやつだよね？んん！！　有咲！　すっごい美味しいよ！！.wav,2
input\kasumi_wav\あ、この猫のストラップ可愛いー！.wav,0
input\kasumi_wav\あ、これ？えへへ、ランダムスターって言うんだ♪.wav,1
input\kasumi_wav\あ、こんにちはー。.wav,2
input\kasumi_wav\あ、さっすが有咲！つまり有咲は、全員おそろいがいいってことだよね！？.wav,0
input\kasumi_wav\あ、さーや！えっ、有咲のこと知ってるの？.wav,1
input\kasumi_wav\あ、じゃあさ、せっかくだから今から私たちで作っちゃおうよ！　新しいサークル！.wav,0
input\kasumi_wav\あ、そういうことか～！なら私は何を頼もうかな～♪.wav,0
input\kasumi_wav\あ、そういえば、さっきなんか言ってなかった？.wav,1
input\kasumi_wav\あ、そういえば、りみりんをバンドに誘ったとき、ここで…….wav,0
input\kasumi_wav\あ、そういえば今度、彩先輩と一緒にカラオケ！行くんですよ～！.wav,0
input\kasumi_wav\あ、そうそう！　私、イヴちゃんが出演するCMに一緒に出させてもらったの！テレビデビューしちゃった！.wav,0
input\kasumi_wav\あ、そうそう！私達、この間、バースデーライブに参加したんだ！.wav,2
input\kasumi_wav\あ、そうだ、有咲！学校終わったら、みんなで一緒にお見舞い行こうよ！きっとりみりん喜んでくれると思うんだ！.wav,0
input\kasumi_wav\あ、そうだ聞いてください、まりなさん！私、この前の修了式で『１年生代表のことば』を言ったんです！.wav,0
input\kasumi_wav\あ、そうだ！.wav,0
input\kasumi_wav\あ、そうだ！　あれも楽しかったよね！　バルーンアート！.wav,0
input\kasumi_wav\あ、そうだ！　いいこと思いついた！この子の音に合わせて、一緒に演奏してみない！？.wav,0
input\kasumi_wav\あ、そうだ！　それ有咲にも手伝ってもらうっていうのは？さーやはお店の手伝いがあるもんね！あとで有咲に聞いてみようよ.wav,0
input\kasumi_wav\あ、そうだ！　ねえねえ有咲！冬休みになったらなんか楽しいことしようよ～！.wav,0
input\kasumi_wav\あ、そうだ！　機会がないのなら、自分で作ればいいんだ！.wav,0
input\kasumi_wav\あ、そうだ！その前にりみりんとさーやにも、今の話して幸せなこと、共有しないとだね！.wav,0
input\kasumi_wav\あ、そうだ！まりなさん。.wav,2
input\kasumi_wav\あ、そうだ！まりなさん。どうですか？.wav,0
input\kasumi_wav\あ、そうだ！りみりんが来たこと、有咲にも言ってくるね！.wav,1
input\kasumi_wav\あ、そうなんだ。わかった！それじゃあ、やってみるね！.wav,2
input\kasumi_wav\あ、そっか、こうか.wav,1
input\kasumi_wav\あ、そっか。えへへ…….wav,2
input\kasumi_wav\あ、そっか！　ごめん！久しぶりにりみりんに会えたから、つい色んなこと話したくなっちゃった！.wav,0
input\kasumi_wav\あ、そっか！　じゃあ、ここから針を通して…….wav,1
input\kasumi_wav\あ、そっか！　それだよ！ロック、ナイス～！.wav,0
input\kasumi_wav\あ、そっか！それじゃあ、みんな！テスト最終日のライブに向けて頑張ろうね！.wav,0
input\kasumi_wav\あ、そっか！ライブまでそんなに時間があるわけじゃないし……私は、できるところだけでも練習した方がいいと思う.wav,1
input\kasumi_wav\あ、その前に、公民館の予定を確認しなきゃ、かな！？.wav,0
input\kasumi_wav\あ、それからたまに虹も見れたりするじゃないですか？だから、雨上がりの散歩って大好きなんです！.wav,0
input\kasumi_wav\あ、それじゃあ、こうしない！？次、新年会があったら、ポピパのみんなでかくし芸やろうよ！.wav,0
input\kasumi_wav\あ、それ聞きたい！私も、そのうちバイトするかもしれないし！.wav,0
input\kasumi_wav\あ、でも……おっきなスタジオも、もちろんおすすめですが、どのスタジオでも、あなたならきっと楽しい音を奏でられると思います！.wav,0
input\kasumi_wav\あ、でもヴァンパイアも強そうだよねっ！　どっちだろ〜！.wav,0
input\kasumi_wav\あ、でも今日はせっかくあことロックが来てるんだし、甘いものも出してもいいんじゃない？.wav,1
input\kasumi_wav\あ、でも私もお腹空いてきちゃった。半分こしよっか♪.wav,0
input\kasumi_wav\あ、なんだろ、あのケース？大きな星のシールが貼ってある…….wav,1
input\kasumi_wav\あ、まりなさん。こんにちは！.wav,2
input\kasumi_wav\あ、まりなさん。こんにちは！これからポピパのみんなで遊びに行くんです！.wav,0
input\kasumi_wav\あ、まりなさん。今、新曲のアイディアを考えてたんです！.wav,0
input\kasumi_wav\あ、まりなさんのオススメも聞いてみなくっちゃ！三人で交換会とかもしたいな！.wav,0
input\kasumi_wav\あ、もしかしてさーや、私と同じこと考えてるかも！やっぱり……あそこだよね～.wav,0
input\kasumi_wav\あ、もちろん体力もつくかもしれないけど、それよりも、もっと大事な練習.wav,1
input\kasumi_wav\あ、りみりん！.wav,2
input\kasumi_wav\あ、りみりん！それって塾の課題？.wav,1
input\kasumi_wav\あ、りみりん！りみりーん、やっほー♪.wav,2
input\kasumi_wav\あ、イヴちゃん！　はぐ！.wav,2
input\kasumi_wav\あ、オーナー！.wav,2
input\kasumi_wav\あ、ダメだ……あれ？　なんで？なんでこんなに眠いんだろ……？.wav,0
input\kasumi_wav\あ、メッセージ、届きましたっ！.wav,2
input\kasumi_wav\あ、ランダムスターは５４０円！有咲がおまけしてくれたの♪.wav,2
input\kasumi_wav\あ、ロックだ～！二人で何してたの？　私も入～れて！.wav,0
input\kasumi_wav\あ、匂い付きの消しゴムが売ってる！.wav,2
input\kasumi_wav\あ、大丈夫です！もう保護して里親も見つけましたよ！.wav,0
input\kasumi_wav\あ、大合同体育祭のことですね！.wav,0
input\kasumi_wav\あ、始まるみたいだよ！.wav,2
input\kasumi_wav\あ、待って…….wav,2
input\kasumi_wav\あ、思いついた！『おとめ戦隊ハナサキ５』！.wav,2
input\kasumi_wav\あ、有咲…….wav,0
input\kasumi_wav\あ、有咲……そんなに私のこと心配してくれてるの……っ！？.wav,0
input\kasumi_wav\あ、有咲いた〜.wav,2
input\kasumi_wav\あ、有咲からメッセージだ。『みんな蔵で待ってるぞ』…….wav,1
input\kasumi_wav\あ、有咲から連絡だ！え～っと、『蔵で待ってるぞ』……あっ、今からみんなで練習するんだった！.wav,0
input\kasumi_wav\あ、有咲のソーセージマフィンもおいしそうだね.wav,2
input\kasumi_wav\あ、有咲もそう思わない？.wav,0
input\kasumi_wav\あ、望遠鏡だ～！.wav,0
input\kasumi_wav\あ、本当だ！これって……ハロウィンのステージのやつだっ！.wav,0
input\kasumi_wav\あ、練習！放課後、有咲のうちでしよ！.wav,0
input\kasumi_wav\あ、美咲ちゃんの食べてるたこ焼きもすっごく美味しそう！.wav,0
input\kasumi_wav\あ、花園さん……だよね？.wav,0
input\kasumi_wav\あ、蘭ちゃん！　何してるの？.wav,0
input\kasumi_wav\あ、金魚すくい！？いいねー！　いこいこー！.wav,0
input\kasumi_wav\あ。お疲れさま！.wav,2
input\kasumi_wav\あ。だ！こんにちはー！.wav,2
input\kasumi_wav\あ。有咲、大あったり～♪.wav,0
input\kasumi_wav\あ〜、また間違えた.wav,2
input\kasumi_wav\ああ、『がんばれパン』だね？そうだね、あれも、りみりん頑張れー！　って思いながら作ったもんね.wav,2
input\kasumi_wav\ああ、おつかいだったんですね！それなら凛々子さんのところに案内しますね。任せてください！.wav,1
input\kasumi_wav\ああ、そっか！はい！　さーやもこっちおいで！.wav,2
input\kasumi_wav\ああぁっ！　蘭ちゃん！.wav,2
input\kasumi_wav\ああいうの、猫かぶってるっていうんだよね。もう、有咲ってばー。ふふっ.wav,0
